time,With,Without,MITM,DDoS
1,4.83E+00,1.08E+00,4.79E+00,3.65E+00
2,5.02E+00,1.54E+00,4.43E+00,4.93E+00
3,6.92E+00,2.08E+00,4.43E+00,3.84E+00
4,5.97E+00,2.08E+00,5.07E+00,3.74E+00
5,5.97E+00,1.54E+00,1.12E+01,4.93E+00
6,5.97E+00,1.08E+00,4.24E+00,1.04E+01
7,5.97E+00,3.40E+00,1.28E+01,4.11E+00
8,6.91E+00,8.49E-01,4.52E+00,1.21E+01
9,1.53E+01,1.16E+00,3.61E+00,4.02E+00
10,6.06E+00,1.78E+00,4.70E+00,3.47E+00
11,1.78E+01,2.08E+00,4.79E+00,3.84E+00
12,5.96E+00,2.70E+00,3.97E+00,3.93E+00
13,5.96E+00,2.08E+00,6.07E+00,3.47E+00
14,5.10E+00,1.70E+00,4.52E+00,5.57E+00
15,5.86E+00,1.08E+00,3.79E+00,4.02E+00
16,5.86E+00,1.24E+00,4.61E+00,3.38E+00
17,5.95E+00,2.16E+00,4.61E+00,4.02E+00
18,5.95E+00,4.17E+00,4.52E+00,4.02E+00
19,5.00E+00,2.55E+00,5.07E+00,4.57E+00
20,8.32E+00,4.63E-01,5.43E+00,4.57E+00
21,6.04E+00,1.31E+00,5.16E+00,3.47E+00
22,5.00E+00,1.47E+00,5.43E+00,4.11E+00
23,5.95E+00,1.85E+00,3.70E+00,7.95E+00
24,6.04E+00,2.01E+00,4.88E+00,3.29E+00
25,6.04E+00,2.24E+00,8.72E+00,4.57E+00
26,6.04E+00,2.32E+00,5.25E+00,1.20E+01
27,6.80E+00,2.47E+00,3.97E+00,2.56E+00
28,6.89E+00,3.71E+00,1.25E+01,4.02E+00
29,6.89E+00,2.32E+00,2.24E+00,4.66E+00
30,6.89E+00,2.01E+00,4.15E+00,5.75E+00
31,5.09E+00,1.93E+00,5.34E+00,3.38E+00
32,5.94E+00,1.70E+00,3.42E+00,3.47E+00
33,1.19E+01,1.24E+00,3.42E+00,4.02E+00
34,4.99E+00,9.27E-01,4.79E+00,2.28E+00
35,6.88E+00,7.72E-01,2.51E+00,3.38E+00
36,1.80E+01,7.72E-01,6.62E+00,5.66E+00
37,3.66E+00,1.24E+00,8.90E+00,8.58E+00
38,3.66E+00,1.47E+00,5.34E+00,4.75E+00
39,6.12E+00,1.62E+00,3.61E+00,4.02E+00
40,6.21E+00,1.85E+00,4.34E+00,3.29E+00
41,6.59E+00,1.93E+00,4.52E+00,4.66E+00
42,4.98E+00,2.32E+00,5.16E+00,4.11E+00
43,8.30E+00,2.93E+00,3.88E+00,3.29E+00
44,4.98E+00,1.93E+00,2.87E+00,2.47E+00
45,4.88E+00,1.78E+00,5.16E+00,4.20E+00
46,5.92E+00,1.39E+00,5.16E+00,4.66E+00
47,5.92E+00,1.31E+00,4.61E+00,4.66E+00
48,3.55E+00,1.24E+00,3.97E+00,4.11E+00
49,4.97E+00,2.47E+00,9.08E+00,3.38E+00
50,5.06E+00,3.47E+00,2.14E+00,8.58E+00
51,1.27E+01,3.71E+00,1.38E+01,2.19E+00
52,6.86E+00,3.63E+00,5.25E+00,1.32E+01
53,5.06E+00,3.24E+00,4.52E+00,3.93E+00
54,7.24E+00,2.86E+00,3.97E+00,4.66E+00
55,6.00E+00,2.39E+00,4.43E+00,3.74E+00
56,5.34E+00,2.32E+00,5.25E+00,4.11E+00
57,3.25E+00,1.93E+00,4.43E+00,4.02E+00
58,7.04E+00,1.47E+00,3.97E+00,4.66E+00
59,7.14E+00,1.24E+00,3.97E+00,4.75E+00
60,6.00E+00,1.39E+00,5.16E+00,3.47E+00
61,6.85E+00,1.85E+00,4.61E+00,4.02E+00
62,5.05E+00,2.24E+00,3.79E+00,3.29E+00
63,1.32E+01,2.47E+00,5.16E+00,4.66E+00
64,2.86E+00,2.63E+00,3.33E+00,4.02E+00
65,1.95E+01,2.93E+00,6.16E+00,3.38E+00
66,5.80E+00,3.55E+00,4.24E+00,4.66E+00
67,7.22E+00,3.71E+00,1.46E+01,4.66E+00
68,4.66E+00,3.09E+00,3.79E+00,3.47E+00
69,6.08E+00,2.55E+00,2.33E+00,5.57E+00
70,6.17E+00,2.16E+00,1.61E+01,4.02E+00
71,6.36E+00,1.85E+00,6.07E+00,1.42E+01
72,6.36E+00,1.78E+00,3.61E+00,3.29E+00
73,7.02E+00,1.47E+00,4.34E+00,1.74E+00
74,5.13E+00,1.24E+00,6.07E+00,1.70E+01
75,5.98E+00,1.93E+00,6.07E+00,4.75E+00
76,5.03E+00,2.24E+00,4.43E+00,3.47E+00
77,7.02E+00,2.55E+00,1.17E+01,3.84E+00
78,5.69E+00,3.01E+00,3.88E+00,3.93E+00
79,5.78E+00,3.47E+00,5.07E+00,5.75E+00
80,5.03E+00,3.94E+00,3.51E+00,5.75E+00
81,5.02E+00,4.09E+00,4.52E+00,1.12E+01
82,6.82E+00,3.78E+00,5.52E+00,3.20E+00
