time,"With WL,BL,SSN","Without WL,BL,SSN","With WL,BL,SSN under SSH-MITM","With WL,BL,SSN under BF"
1,2.10E+00,1.65E+00,2.66E+00,2.22E+00
2,1.93E+00,2.26E+00,3.39E+00,2.74E+00
3,2.10E+00,1.93E+00,2.58E+00,2.38E+00
4,1.53E+00,2.58E+00,3.10E+00,2.98E+00
5,2.09E+00,2.90E+00,3.70E+00,2.50E+00
6,1.21E+00,1.81E+00,2.74E+00,2.90E+00
7,1.89E+00,2.66E+00,5.68E+00,2.21E+00
8,1.04E+00,2.01E+00,2.69E+00,2.74E+00
9,1.61E+00,2.13E+00,2.89E+00,2.25E+00
10,8.39E-01,1.85E+00,3.17E+00,2.77E+00
11,1.85E+00,2.41E+00,2.57E+00,2.21E+00
12,9.58E-01,4.87E+00,2.89E+00,2.81E+00
13,1.64E+00,2.41E+00,2.49E+00,2.00E+00
14,9.56E-01,2.81E+00,2.81E+00,2.33E+00
15,1.36E+00,2.29E+00,2.97E+00,2.49E+00
16,4.30E-01,1.76E+00,3.05E+00,2.00E+00
17,1.48E+00,2.04E+00,3.13E+00,2.28E+00
18,6.70E-01,1.72E+00,3.21E+00,2.28E+00
19,1.03E+00,2.28E+00,3.33E+00,2.24E+00
20,1.63E+00,1.76E+00,3.45E+00,2.24E+00
21,1.03E+00,2.24E+00,2.76E+00,2.88E+00
22,1.63E+00,2.00E+00,2.68E+00,2.32E+00
23,8.65E-01,2.40E+00,2.64E+00,2.72E+00
24,1.43E+00,2.24E+00,3.25E+00,1.99E+00
25,1.71E+00,2.36E+00,2.56E+00,2.11E+00
26,1.06E+00,2.48E+00,3.41E+00,2.80E+00
27,1.59E+00,2.24E+00,2.72E+00,1.43E+00
28,9.00E-01,2.32E+00,3.28E+00,2.63E+00
29,1.46E+00,2.15E+00,2.48E+00,1.79E+00
30,9.37E-01,2.40E+00,2.92E+00,2.07E+00
31,1.66E+00,2.11E+00,2.79E+00,2.35E+00
32,9.34E-01,2.27E+00,2.88E+00,2.11E+00
33,9.34E-01,2.15E+00,2.79E+00,2.35E+00
34,1.05E+00,2.23E+00,3.20E+00,2.31E+00
35,1.09E+00,2.07E+00,2.79E+00,2.06E+00
36,1.09E+00,2.47E+00,6.02E+00,2.67E+00
37,1.09E+00,2.23E+00,2.79E+00,2.10E+00
38,1.86E+00,2.31E+00,2.87E+00,2.22E+00
39,2.10E+00,2.15E+00,2.91E+00,2.14E+00
40,1.33E+00,2.15E+00,2.87E+00,2.14E+00
41,1.33E+00,2.19E+00,3.03E+00,2.70E+00
42,1.49E+00,2.31E+00,2.47E+00,2.22E+00
43,1.77E+00,2.06E+00,2.22E+00,2.70E+00
44,1.81E+00,2.22E+00,2.79E+00,2.05E+00
45,1.13E+00,2.06E+00,2.30E+00,2.42E+00
46,1.05E+00,2.26E+00,2.30E+00,2.05E+00
47,5.61E-01,2.02E+00,3.15E+00,2.86E+00
48,1.33E+00,2.18E+00,2.22E+00,2.13E+00
49,1.29E+00,2.06E+00,2.46E+00,3.14E+00
50,7.61E-01,4.55E+00,3.11E+00,1.85E+00
51,1.12E+00,2.30E+00,3.19E+00,2.57E+00
52,1.44E+00,2.62E+00,2.38E+00,2.33E+00
53,6.36E-01,2.21E+00,2.94E+00,2.41E+00
54,1.60E+00,2.21E+00,2.22E+00,2.17E+00
55,1.80E+00,2.45E+00,2.90E+00,2.37E+00
56,1.04E+00,1.93E+00,2.46E+00,2.37E+00
57,7.94E-01,2.13E+00,2.78E+00,2.45E+00
58,8.74E-01,2.21E+00,2.94E+00,3.09E+00
59,1.48E+00,2.21E+00,2.33E+00,2.77E+00
60,1.07E+00,2.53E+00,2.94E+00,2.61E+00
61,8.32E-01,1.96E+00,2.41E+00,3.25E+00
62,9.92E-01,3.33E+00,2.93E+00,1.96E+00
63,1.15E+00,1.92E+00,2.45E+00,3.25E+00
64,1.27E+00,2.28E+00,3.17E+00,2.28E+00
65,1.56E+00,2.12E+00,2.61E+00,2.28E+00
66,5.86E-01,2.36E+00,3.01E+00,2.48E+00
67,1.55E+00,2.08E+00,2.48E+00,2.48E+00
68,1.19E+00,2.20E+00,3.09E+00,3.49E+00
69,8.26E-01,2.28E+00,2.52E+00,2.36E+00
70,1.15E+00,2.07E+00,3.85E+00,2.84E+00
71,1.63E+00,2.44E+00,2.52E+00,2.36E+00
72,8.22E-01,2.31E+00,5.78E+00,2.40E+00
73,1.67E+00,2.68E+00,2.88E+00,1.71E+00
74,1.10E+00,2.19E+00,2.68E+00,3.24E+00
75,9.82E-01,2.59E+00,3.24E+00,2.35E+00
76,1.47E+00,1.79E+00,2.88E+00,2.35E+00
77,7.38E-01,2.75E+00,2.19E+00,2.03E+00
78,6.57E-01,1.06E+00,3.44E+00,2.11E+00
79,1.22E+00,2.51E+00,2.43E+00,2.15E+00
80,8.16E-01,2.06E+00,3.15E+00,3.03E+00
81,1.26E+00,2.34E+00,2.75E+00,2.43E+00
82,9.76E-01,2.38E+00,3.15E+00,2.27E+00
83,1.62E+00,2.10E+00,2.75E+00,1.86E+00
84,1.62E+00,2.58E+00,3.23E+00,2.19E+00
85,1.70E+00,2.02E+00,2.71E+00,1.74E+00
86,8.10E-01,2.26E+00,2.74E+00,3.27E+00
87,1.70E+00,2.26E+00,2.74E+00,2.34E+00
88,1.17E+00,2.58E+00,2.74E+00,2.46E+00
89,1.13E+00,2.26E+00,2.74E+00,3.15E+00
