time,"With WL,BL,SSN","Without WL,BL,SSN","With WL,BL,SSN under SSH-MITM","With WL,BL,SSN under BF"
1,1.50E+00,1.69E+00,2.86E+00,2.18E+00
2,1.26E+00,2.42E+00,2.86E+00,3.02E+00
3,1.18E+00,2.29E+00,5.00E+00,2.26E+00
4,1.46E+00,2.66E+00,3.18E+00,3.26E+00
5,1.22E+00,2.09E+00,4.67E+00,2.33E+00
6,1.22E+00,2.33E+00,3.91E+00,2.65E+00
7,1.34E+00,1.56E+00,4.47E+00,2.01E+00
8,1.34E+00,2.45E+00,2.37E+00,2.61E+00
9,1.34E+00,1.96E+00,4.14E+00,2.61E+00
10,1.01E+00,2.49E+00,3.17E+00,2.29E+00
11,1.01E+00,1.92E+00,3.82E+00,2.61E+00
12,1.09E+00,2.08E+00,4.14E+00,2.21E+00
13,1.05E+00,2.16E+00,4.02E+00,2.21E+00
14,1.01E+00,2.40E+00,4.06E+00,2.53E+00
15,1.01E+00,2.69E+00,4.22E+00,2.77E+00
16,1.01E+00,2.36E+00,3.77E+00,2.37E+00
17,1.01E+00,2.24E+00,4.02E+00,2.73E+00
18,1.18E+00,2.76E+00,4.14E+00,2.40E+00
19,1.22E+00,2.24E+00,3.97E+00,2.28E+00
20,1.34E+00,2.24E+00,3.97E+00,2.12E+00
21,1.46E+00,2.48E+00,3.97E+00,2.12E+00
22,1.62E+00,2.56E+00,4.66E+00,2.20E+00
23,1.50E+00,2.28E+00,3.81E+00,2.32E+00
24,1.38E+00,2.23E+00,3.45E+00,2.64E+00
25,1.34E+00,2.51E+00,3.81E+00,2.72E+00
26,1.09E+00,2.15E+00,4.13E+00,2.84E+00
27,1.30E+00,2.39E+00,5.22E+00,3.13E+00
28,1.46E+00,2.19E+00,4.25E+00,3.21E+00
29,1.62E+00,2.47E+00,4.85E+00,2.80E+00
30,1.54E+00,2.35E+00,4.37E+00,2.56E+00
31,1.26E+00,2.23E+00,4.65E+00,2.56E+00
32,1.01E+00,2.39E+00,4.00E+00,2.84E+00
33,1.18E+00,2.59E+00,4.61E+00,2.12E+00
34,1.26E+00,2.15E+00,3.68E+00,1.95E+00
35,1.62E+00,2.51E+00,3.03E+00,2.28E+00
36,1.86E+00,2.18E+00,4.36E+00,2.52E+00
37,1.34E+00,2.43E+00,3.88E+00,2.68E+00
38,1.30E+00,2.63E+00,4.40E+00,3.00E+00
39,1.34E+00,2.38E+00,3.88E+00,3.08E+00
40,1.34E+00,2.54E+00,4.44E+00,2.72E+00
41,1.34E+00,2.22E+00,3.23E+00,2.43E+00
42,1.14E+00,2.14E+00,4.36E+00,2.35E+00
43,1.05E+00,2.42E+00,3.55E+00,2.92E+00
44,9.32E-01,2.62E+00,4.11E+00,3.00E+00
45,8.92E-01,2.62E+00,3.43E+00,2.43E+00
46,1.01E+00,2.38E+00,4.51E+00,2.35E+00
47,1.34E+00,2.46E+00,3.83E+00,2.71E+00
48,1.46E+00,2.58E+00,4.51E+00,2.88E+00
49,1.54E+00,2.02E+00,3.54E+00,2.39E+00
50,1.54E+00,2.38E+00,3.10E+00,2.35E+00
51,1.18E+00,2.70E+00,4.34E+00,2.71E+00
52,1.01E+00,2.21E+00,3.54E+00,2.83E+00
53,9.32E-01,2.05E+00,3.01E+00,2.63E+00
54,6.08E-01,2.37E+00,4.14E+00,2.51E+00
55,5.68E-01,1.57E+00,3.90E+00,2.55E+00
56,6.89E-01,2.05E+00,4.26E+00,2.91E+00
57,7.30E-01,1.48E+00,3.94E+00,2.31E+00
58,1.01E+00,3.01E+00,3.98E+00,2.26E+00
59,1.05E+00,2.05E+00,3.98E+00,2.55E+00
60,1.05E+00,1.64E+00,3.97E+00,2.83E+00
61,1.09E+00,2.45E+00,4.38E+00,2.91E+00
62,1.34E+00,1.80E+00,4.18E+00,2.91E+00
63,1.66E+00,2.24E+00,3.93E+00,2.67E+00
64,1.38E+00,1.80E+00,4.42E+00,2.50E+00
65,1.30E+00,2.28E+00,3.93E+00,2.34E+00
66,1.30E+00,1.63E+00,4.61E+00,2.34E+00
67,1.58E+00,2.20E+00,4.45E+00,2.91E+00
68,1.70E+00,1.83E+00,3.73E+00,2.46E+00
69,1.38E+00,2.40E+00,3.69E+00,2.34E+00
70,1.26E+00,2.15E+00,3.60E+00,2.46E+00
71,1.30E+00,2.88E+00,5.34E+00,2.82E+00
72,1.58E+00,1.95E+00,4.05E+00,2.18E+00
73,1.74E+00,2.31E+00,4.17E+00,2.42E+00
74,1.38E+00,2.59E+00,4.00E+00,2.82E+00
75,1.22E+00,1.95E+00,4.08E+00,2.98E+00
76,9.32E-01,2.23E+00,3.11E+00,2.62E+00
77,1.38E+00,1.90E+00,3.80E+00,2.33E+00
78,1.66E+00,2.67E+00,3.52E+00,2.90E+00
79,1.70E+00,2.02E+00,3.56E+00,2.33E+00
80,1.58E+00,1.98E+00,4.08E+00,2.77E+00
81,1.26E+00,2.59E+00,3.31E+00,2.01E+00
82,1.58E+00,2.06E+00,4.20E+00,2.25E+00
83,1.66E+00,2.02E+00,3.51E+00,2.65E+00
84,1.46E+00,2.26E+00,4.24E+00,2.24E+00
85,1.66E+00,2.50E+00,3.92E+00,2.56E+00
86,1.09E+00,2.79E+00,3.88E+00,2.72E+00
87,1.62E+00,2.38E+00,4.48E+00,2.40E+00
88,1.46E+00,2.30E+00,2.99E+00,2.72E+00
89,1.58E+00,2.02E+00,3.91E+00,2.28E+00
