time,"With WL,BL,SSN","Without WL,BL,SSN","With WL,BL,SSN under SSH-MITM","With WL,BL,SSN under BF"
1,1.46E+00,1.82E+00,2.31E+00,2.23E+00
2,1.18E+00,1.66E+00,2.64E+00,3.08E+00
3,1.26E+00,1.62E+00,2.96E+00,2.23E+00
4,1.99E+00,1.58E+00,3.28E+00,2.88E+00
5,1.01E+00,1.50E+00,3.69E+00,2.47E+00
6,1.14E+00,1.50E+00,4.09E+00,2.84E+00
7,9.32E-01,1.70E+00,4.46E+00,2.35E+00
8,1.38E+00,1.74E+00,3.77E+00,1.82E+00
9,1.38E+00,1.74E+00,3.49E+00,2.72E+00
10,1.18E+00,1.78E+00,3.04E+00,2.07E+00
11,1.14E+00,1.58E+00,2.64E+00,1.78E+00
12,1.18E+00,1.42E+00,2.39E+00,1.91E+00
13,1.18E+00,1.34E+00,2.39E+00,2.03E+00
14,1.18E+00,1.58E+00,2.72E+00,2.11E+00
15,1.14E+00,2.07E+00,3.20E+00,2.43E+00
16,1.01E+00,2.23E+00,3.57E+00,2.15E+00
17,1.18E+00,2.15E+00,3.93E+00,2.03E+00
18,1.34E+00,2.23E+00,3.89E+00,1.82E+00
19,1.50E+00,2.68E+00,3.28E+00,1.91E+00
20,1.66E+00,2.55E+00,2.80E+00,2.11E+00
21,1.74E+00,1.99E+00,2.27E+00,2.27E+00
22,1.50E+00,2.07E+00,3.41E+00,2.47E+00
23,1.34E+00,2.27E+00,3.16E+00,2.03E+00
24,1.30E+00,2.39E+00,2.80E+00,1.86E+00
25,1.26E+00,2.55E+00,2.55E+00,1.82E+00
26,1.09E+00,2.76E+00,2.31E+00,2.07E+00
27,1.26E+00,2.39E+00,3.36E+00,3.00E+00
28,1.18E+00,2.19E+00,3.08E+00,2.31E+00
29,1.14E+00,2.07E+00,2.80E+00,1.99E+00
30,1.05E+00,2.80E+00,2.51E+00,3.32E+00
31,1.05E+00,1.99E+00,2.43E+00,2.35E+00
32,1.18E+00,2.23E+00,2.80E+00,1.74E+00
33,1.14E+00,1.86E+00,3.04E+00,4.70E+00
34,1.66E+00,1.66E+00,2.88E+00,1.66E+00
35,1.42E+00,2.07E+00,2.68E+00,1.74E+00
36,1.42E+00,2.15E+00,2.51E+00,2.15E+00
37,1.26E+00,1.91E+00,2.51E+00,2.55E+00
38,1.22E+00,1.91E+00,2.55E+00,2.15E+00
39,9.73E-01,1.91E+00,2.72E+00,1.74E+00
40,1.09E+00,2.23E+00,3.04E+00,1.66E+00
41,1.18E+00,2.35E+00,3.24E+00,2.47E+00
42,1.22E+00,2.35E+00,2.88E+00,2.07E+00
43,1.18E+00,2.27E+00,2.76E+00,3.04E+00
44,1.01E+00,2.03E+00,2.68E+00,2.15E+00
45,1.05E+00,1.99E+00,2.55E+00,2.47E+00
46,1.18E+00,2.07E+00,2.47E+00,1.62E+00
47,1.18E+00,2.27E+00,2.39E+00,2.51E+00
48,1.18E+00,2.11E+00,2.55E+00,2.03E+00
49,1.18E+00,1.86E+00,2.68E+00,2.64E+00
50,1.14E+00,1.74E+00,2.80E+00,2.47E+00
51,1.18E+00,1.66E+00,2.88E+00,2.43E+00
52,1.18E+00,1.66E+00,3.08E+00,2.31E+00
53,1.18E+00,1.66E+00,3.20E+00,2.15E+00
54,1.26E+00,1.50E+00,2.76E+00,1.99E+00
55,1.34E+00,1.46E+00,2.59E+00,1.91E+00
56,1.42E+00,1.82E+00,2.47E+00,1.78E+00
57,1.34E+00,2.23E+00,2.47E+00,1.66E+00
58,1.30E+00,2.39E+00,2.72E+00,1.58E+00
59,1.30E+00,2.27E+00,2.80E+00,1.66E+00
60,1.22E+00,2.07E+00,3.00E+00,1.91E+00
61,1.18E+00,1.99E+00,3.12E+00,2.51E+00
62,1.05E+00,1.86E+00,3.24E+00,2.72E+00
63,1.01E+00,1.91E+00,3.36E+00,2.19E+00
64,1.14E+00,1.99E+00,3.28E+00,1.82E+00
65,1.18E+00,1.91E+00,3.16E+00,2.43E+00
66,1.26E+00,1.82E+00,3.04E+00,2.80E+00
67,1.34E+00,1.95E+00,2.84E+00,1.70E+00
68,1.38E+00,2.15E+00,2.64E+00,2.64E+00
69,1.18E+00,2.51E+00,2.51E+00,2.19E+00
70,1.22E+00,2.72E+00,2.39E+00,2.11E+00
71,1.22E+00,2.55E+00,2.35E+00,1.91E+00
72,1.18E+00,2.43E+00,2.59E+00,2.96E+00
73,1.18E+00,2.19E+00,2.80E+00,2.23E+00
74,1.18E+00,2.07E+00,3.04E+00,1.99E+00
75,1.22E+00,2.07E+00,3.45E+00,1.91E+00
76,1.42E+00,2.15E+00,3.20E+00,1.82E+00
77,1.42E+00,2.27E+00,3.12E+00,2.64E+00
78,1.66E+00,1.86E+00,2.96E+00,3.04E+00
79,1.42E+00,1.95E+00,2.72E+00,2.88E+00
80,1.22E+00,2.07E+00,2.55E+00,2.55E+00
81,1.05E+00,2.15E+00,2.72E+00,2.31E+00
82,7.70E-01,2.64E+00,2.84E+00,2.03E+00
83,1.58E+00,2.03E+00,3.28E+00,3.57E+00
84,1.95E+00,1.70E+00,3.45E+00,2.35E+00
85,1.86E+00,2.51E+00,3.20E+00,2.64E+00
86,7.70E-01,2.15E+00,3.08E+00,1.74E+00
87,1.58E+00,1.82E+00,2.72E+00,2.27E+00
88,1.95E+00,2.31E+00,2.51E+00,2.55E+00
89,1.86E+00,1.95E+00,2.39E+00,2.88E+00
