time,"Without WL,BL and TCP Patterns","With WL,BL and TCP Patterns","With WL,BL and TCP Patterns Under Brute Force"
1,1.95E+00,1.38E+00,2.03E+00
2,2.03E+00,1.14E+00,2.36E+00
3,2.07E+00,1.14E+00,2.36E+00
4,2.15E+00,1.87E+00,2.48E+00
5,2.15E+00,9.76E-01,3.58E+00
6,1.91E+00,1.14E+00,2.44E+00
7,1.99E+00,9.35E-01,2.32E+00
8,2.11E+00,1.30E+00,2.68E+00
9,1.91E+00,1.34E+00,2.85E+00
10,2.03E+00,1.30E+00,3.01E+00
11,2.15E+00,1.30E+00,2.44E+00
12,1.95E+00,1.18E+00,2.20E+00
13,1.95E+00,1.14E+00,2.68E+00
14,2.11E+00,1.14E+00,3.05E+00
15,2.28E+00,1.18E+00,2.80E+00
16,2.44E+00,1.18E+00,2.32E+00
17,2.76E+00,8.54E-01,2.11E+00
18,2.32E+00,1.46E+00,2.28E+00
19,1.91E+00,1.67E+00,3.17E+00
20,2.03E+00,1.06E+00,2.44E+00
21,2.20E+00,1.22E+00,2.44E+00
22,2.36E+00,1.14E+00,2.72E+00
23,2.40E+00,1.02E+00,4.15E+00
24,2.44E+00,1.10E+00,2.44E+00
25,2.44E+00,1.22E+00,3.94E+00
26,2.24E+00,1.18E+00,2.68E+00
27,2.11E+00,1.18E+00,5.37E+00
28,2.11E+00,1.18E+00,2.85E+00
29,2.28E+00,1.06E+00,2.60E+00
30,2.36E+00,9.35E-01,2.15E+00
31,2.60E+00,9.76E-01,2.56E+00
32,2.28E+00,1.10E+00,2.20E+00
33,2.11E+00,1.14E+00,2.36E+00
34,2.03E+00,1.14E+00,2.03E+00
35,2.11E+00,1.22E+00,2.32E+00
36,2.20E+00,1.42E+00,2.64E+00
37,2.52E+00,1.63E+00,2.85E+00
38,2.52E+00,1.67E+00,2.28E+00
39,2.32E+00,1.63E+00,2.20E+00
40,2.03E+00,1.50E+00,2.48E+00
41,1.95E+00,1.46E+00,2.56E+00
42,1.95E+00,1.38E+00,2.60E+00
43,2.11E+00,1.46E+00,2.64E+00
44,2.36E+00,1.38E+00,2.85E+00
45,2.52E+00,1.22E+00,2.97E+00
46,2.48E+00,1.14E+00,3.09E+00
47,2.36E+00,1.22E+00,2.93E+00
48,2.20E+00,1.22E+00,2.64E+00
49,2.07E+00,1.06E+00,2.60E+00
50,2.11E+00,9.76E-01,2.40E+00
51,2.52E+00,1.06E+00,2.36E+00
52,2.20E+00,1.14E+00,2.24E+00
53,2.36E+00,1.18E+00,2.32E+00
54,2.15E+00,9.35E-01,2.36E+00
55,2.15E+00,1.18E+00,2.44E+00
56,2.36E+00,1.14E+00,2.52E+00
57,1.99E+00,1.34E+00,2.68E+00
58,2.11E+00,1.22E+00,2.76E+00
59,2.36E+00,9.76E-01,2.80E+00
60,2.52E+00,1.14E+00,2.85E+00
61,2.11E+00,1.34E+00,2.60E+00
62,2.32E+00,1.10E+00,2.48E+00
63,2.36E+00,1.18E+00,2.36E+00
64,2.60E+00,1.14E+00,2.28E+00
65,2.85E+00,1.14E+00,2.20E+00
66,3.09E+00,1.38E+00,2.28E+00
67,2.85E+00,1.71E+00,2.44E+00
68,2.60E+00,1.75E+00,2.52E+00
69,2.52E+00,1.54E+00,2.68E+00
70,2.28E+00,8.13E-01,2.68E+00
71,2.28E+00,1.10E+00,2.60E+00
72,2.52E+00,1.38E+00,2.60E+00
73,2.28E+00,1.59E+00,2.64E+00
74,2.48E+00,1.50E+00,2.60E+00
75,2.52E+00,1.42E+00,2.28E+00
76,2.44E+00,1.30E+00,2.15E+00
77,2.85E+00,1.10E+00,1.95E+00
78,2.32E+00,1.14E+00,1.87E+00
79,2.24E+00,1.26E+00,2.11E+00
80,2.48E+00,1.38E+00,2.64E+00
81,2.68E+00,1.42E+00,2.85E+00
82,2.64E+00,1.38E+00,2.85E+00
83,2.36E+00,1.22E+00,2.52E+00
84,2.60E+00,1.06E+00,2.36E+00
85,2.80E+00,9.76E-01,2.11E+00
86,2.68E+00,1.22E+00,2.03E+00
87,2.36E+00,1.34E+00,1.87E+00
88,2.07E+00,1.34E+00,2.11E+00
89,1.99E+00,1.34E+00,2.44E+00
,,,2.56E+00
,,,2.93E+00
