time,"Without WL,BL and TCP Patterns","With WL,BL and TCP Patterns","With WL,BL and TCP Patterns Under Brute Force",,,
1,1.40E+00,1.72E+00,1.96E+00,,,
2,1.56E+00,1.60E+00,2.04E+00,,,
3,1.60E+00,1.64E+00,2.04E+00,,,
4,1.56E+00,1.64E+00,2.20E+00,,,
5,1.48E+00,1.48E+00,3.52E+00,,,
6,1.48E+00,1.44E+00,2.92E+00,,,
7,1.56E+00,1.48E+00,2.52E+00,,,
8,1.72E+00,1.56E+00,2.20E+00,,,
9,1.64E+00,1.24E+00,2.04E+00,,,
10,1.60E+00,1.32E+00,2.08E+00,,,
11,1.64E+00,1.32E+00,2.20E+00,,,
12,1.64E+00,1.28E+00,2.24E+00,,,
13,1.56E+00,1.24E+00,2.56E+00,,,
14,1.36E+00,1.04E+00,4.20E+00,,,
15,1.28E+00,1.36E+00,2.76E+00,,,
16,1.32E+00,1.48E+00,2.44E+00,,,
17,1.40E+00,1.72E+00,2.44E+00,,,
18,1.48E+00,1.64E+00,2.40E+00,,,
19,1.64E+00,1.32E+00,2.40E+00,,,
20,1.64E+00,1.16E+00,2.04E+00,,,
21,1.72E+00,1.20E+00,1.88E+00,,,
22,1.72E+00,1.20E+00,1.96E+00,,,
23,1.68E+00,1.16E+00,2.20E+00,,,
24,1.64E+00,1.08E+00,2.32E+00,,,
25,1.68E+00,1.00E+00,2.48E+00,,,
26,1.72E+00,1.08E+00,2.96E+00,,,
27,1.64E+00,1.20E+00,2.60E+00,,,
28,1.64E+00,1.24E+00,2.44E+00,,,
29,1.56E+00,1.16E+00,2.52E+00,,,
30,1.48E+00,1.08E+00,2.52E+00,,,
31,1.48E+00,1.08E+00,2.56E+00,,,
32,1.44E+00,1.04E+00,2.32E+00,,,
33,1.44E+00,1.16E+00,2.12E+00,,,
34,1.40E+00,1.24E+00,1.92E+00,,,
35,1.40E+00,1.24E+00,1.88E+00,,,
36,1.36E+00,1.32E+00,2.00E+00,,,
37,1.40E+00,1.56E+00,2.12E+00,,,
38,1.48E+00,1.72E+00,2.68E+00,,,
39,1.64E+00,1.60E+00,2.36E+00,,,
40,2.00E+00,1.48E+00,2.32E+00,,,
41,2.04E+00,1.40E+00,2.40E+00,,,
42,2.24E+00,1.32E+00,2.36E+00,,,
43,2.68E+00,1.20E+00,2.56E+00,,,
44,2.32E+00,1.16E+00,2.84E+00,,,
45,2.16E+00,1.16E+00,2.44E+00,,,
46,2.00E+00,9.20E-01,2.20E+00,,,
47,1.88E+00,1.00E+00,2.24E+00,,,
48,1.84E+00,1.24E+00,2.20E+00,,,
49,1.96E+00,1.32E+00,2.20E+00,,,
50,1.96E+00,1.24E+00,2.40E+00,,,
51,1.84E+00,1.20E+00,2.68E+00,,,
52,1.88E+00,1.44E+00,2.84E+00,,,
53,2.08E+00,1.40E+00,3.08E+00,,,
54,2.84E+00,1.24E+00,2.68E+00,,,
55,2.00E+00,1.00E+00,2.40E+00,,,
56,1.88E+00,1.08E+00,2.28E+00,,,
57,1.80E+00,1.36E+00,2.16E+00,,,
58,1.72E+00,1.40E+00,2.20E+00,,,
59,1.72E+00,1.32E+00,2.24E+00,,,
60,1.76E+00,1.24E+00,4.44E+00,,,
61,1.76E+00,1.16E+00,2.60E+00,,,
62,1.76E+00,1.24E+00,2.64E+00,,,
63,1.84E+00,1.40E+00,2.60E+00,,,
64,2.04E+00,1.60E+00,2.52E+00,,,
65,2.20E+00,1.64E+00,2.52E+00,,,
66,2.36E+00,1.36E+00,6.56E+00,,,
67,2.52E+00,1.04E+00,2.80E+00,,,
68,2.76E+00,8.80E-01,2.56E+00,,,
69,1.96E+00,7.60E-01,2.60E+00,,,
70,1.92E+00,1.08E+00,2.44E+00,,,
71,1.92E+00,1.24E+00,2.24E+00,,,
72,2.00E+00,1.48E+00,2.04E+00,,,
73,2.04E+00,1.60E+00,1.96E+00,,,
74,2.80E+00,1.52E+00,2.12E+00,,,
75,2.20E+00,1.32E+00,2.12E+00,,,
76,2.12E+00,1.24E+00,2.00E+00,,,
77,2.12E+00,1.20E+00,2.04E+00,,,
78,2.04E+00,1.32E+00,2.20E+00,,,
79,1.92E+00,1.40E+00,4.48E+00,,,
80,1.80E+00,1.32E+00,2.92E+00,,,
81,1.68E+00,1.40E+00,2.84E+00,,,
82,1.48E+00,1.48E+00,2.48E+00,,,
83,1.48E+00,1.64E+00,2.36E+00,,,
84,1.64E+00,1.56E+00,2.20E+00,,,
85,2.20E+00,1.48E+00,2.12E+00,,,
86,2.12E+00,1.52E+00,2.28E+00,,,
87,1.88E+00,1.56E+00,2.56E+00,,,
88,1.72E+00,1.52E+00,3.04E+00,,,
,,,,,,
,,,,,,
